num_voters,title,url,avg_rating,rank,geek_rating,release_date
338.0,Mermaid Rain,/boardgame/5941/mermaid-rain,6.25,4469,5.669,2003
230.0,Villagers & Villains,/boardgame/102690/villagers-villains,6.7,4172,5.689,2011
145.0,Ars Victor,/boardgame/128204/ars-victor,7.38,4173,5.689,2013
93.0,The Seven Days of 1809,/boardgame/11967/seven-days-1809,7.59,4876,5.646,2004
202.0,Barcelona: The Rose of Fire,/boardgame/205078/barcelona-rose-fire,6.57,4877,5.646,2016
123.0,Ogre Miniatures,/boardgame/29026/ogre-miniatures,7.7,4961,5.642,1992
374.0,Apples to Apples Kids,/boardgame/4991/apples-apples-kids,6.08,4962,5.642,2001
118.0,The Legend Begins,/boardgame/4884/legend-begins,7.73,4075,5.697,1991
323.0,Industry,/boardgame/66076/industry,6.41,4076,5.697,2010
87.0,Tunisia II,/boardgame/193238/tunisia-ii,8.36,4270,5.682,2016
167.0,Highway to the Reich (first and second editions),/boardgame/4244/highway-reich-first-and-second-editions,7.0,4271,5.681,1976
99.0,La Bataille d'Orthez,/boardgame/11436/la-bataille-dorthez,7.8,4580,5.664,2000
139.0,Munchkin X-Men,/boardgame/213670/munchkin-x-men,7.19,4581,5.663,2017
344.0,Klondike,/boardgame/1702/klondike,6.38,3986,5.705,1993
274.0,Resistor_,/boardgame/169530/resistor,6.73,3987,5.705,2015
168.0,Wind the Film!,/boardgame/215471/wind-film,7.33,3584,5.744,2016
135.0,Three Battles of Manassas,/boardgame/13403/three-battles-manassas,7.88,3585,5.744,2004
191.0,Magnate,/boardgame/41090/magnate,7.32,3386,5.768,2008
355.0,Piratenbillard,/boardgame/151/piratenbillard,6.59,3387,5.768,1959
486.0,Epic PVP: Fantasy,/boardgame/168770/epic-pvp-fantasy,6.72,2990,5.823,2015
270.0,Catan: Ancient Egypt,/boardgame/161527/catan-ancient-egypt,7.28,2991,5.823,2014
410.0,Cavemen: The Quest for Fire,/boardgame/110870/cavemen-quest-fire,6.39,3684,5.734,2012
218.0,Pharaoh's Gulo Gulo,/boardgame/175088/pharaohs-gulo-gulo,6.93,3685,5.734,2015
254.0,Spheres of Influence: Struggle for Global Supremacy,/boardgame/178550/spheres-influence-struggle-global-supremacy,7.9,2894,5.837,2016
477.0,Gardens,/boardgame/153422/gardens,6.66,2895,5.837,2014
